Type (House/Senate),State,Affiliation,Name,District,Platform,Handle,Unique ID,Date added
Senate,Alabama,Democrat,Will Boyd,,Facebook,willboydforalabama,,9/19/2022
Senate,Alabama,Democrat,Will Boyd,,Twitter,willboydforAL,150521075,9/19/2022
Senate,Alabama,Democrat,Will Boyd,,YouTube,,https://www.youtube.com/channel/UCAPvDG5NGmXZrl6nT3Y2SMg,9/19/2022
Senate,Alabama,Democrat,Will Boyd,,Instagram,willboydforAL,,9/19/2022
Senate,Alabama,Republican,Katie Britt,,Twitter,KatieBrittforAL,1400915708259696640,9/19/2022
Senate,Alabama,Republican,Katie Britt,,Facebook,KatieBrittforAL,,9/19/2022
Senate,Alabama,Republican,Katie Britt,,YouTube,,https://www.youtube.com/channel/UChTM3zDwbXAFppNO4oHTCRQ,9/19/2022
Senate,Alabama,Republican,Katie Britt,,Instagram,katiebrittforal,,9/19/2022
House,Alabama,Republican,Robert Aderholt,,Twitter,Robert_Aderholt,76452765,9/19/2022
House,Alabama,Republican,Robert Aderholt,,Facebook,RobertAderholtforCongress,,9/19/2022
House,Alabama,Republican,Robert Aderholt,,Instagram,robert_aderholt,,9/19/2022
House,Alabama,Republican,Robert Aderholt,,YouTube,,https://www.youtube.com/user/RobertAderholt,9/19/2022
House,Alabama,Democrat,Rick Neighbors,,Twitter,VoteNeighbors,1199183201719259136,9/19/2022
House,Alabama,Democrat,Rick Neighbors,,Instagram,rickneighbors4congress,,9/19/2022
House,Alabama,Democrat,Rick Neighbors,,YouTube,,https://www.youtube.com/channel/UCtG7oRhEMH_r__Ny98fL2uQ,9/19/2022
House,Alabama,Libertarian,Johnny C. Cochran,,Twitter,JohnnyCCochran,1524935707424342016,9/19/2022
House,Alabama,Libertarian,Johnny C. Cochran,,Facebook,JohnnyCCochran4AL,,9/19/2022
House,Alabama,Libertarian,Johnny C. Cochran,,YouTube,,https://www.youtube.com/channel/UCmNYZCw_t8FfX3fHt9SlILQ,9/19/2022
House,Alabama,Libertarian,Johnny C. Cochran,,Instagram,johnnyccochran4al,,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Twitter,lisamurkowski,18061669,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Twitter,LisaForSenate,151247615,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Facebook,SenLisaMurkowski,,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Facebook,lisaforalaska,,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,YouTube,,https://www.youtube.com/user/senatormurkowski,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,YouTube,,https://www.youtube.com/user/Lisa4Senate,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Instagram,senlisamurkowski,,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Instagram,lisa4alaska,,9/19/2022
Senate,Alaska,Democrat,Patricia R.Chesbro,,Twitter,ChooseChesbro,1524549352890404864,9/19/2022
Senate,Alaska,Democrat,Patricia R.Chesbro,,Facebook,ChooseChesbro,,9/19/2022
Senate,Alaska,Democrat,Patricia R.Chesbro,,Instagram,choosechesbro,,9/19/2022
Senate,Alaska,Republican,Kelly Tshibaka,,Twitter,KellyforAlaska,1371619745041063936,9/19/2022
Senate,Alaska,Republican,Kelly Tshibaka,,Facebook,KellyForAlaska,,9/19/2022
Senate,Alaska,Republican,Kelly Tshibaka,,Instagram,kellyforalaska,,9/19/2022
House,Alaska,Democrat,Mary Peltola,,Twitter,MaryPeltola,1514353565510164480,9/19/2022
House,Alaska,Democrat,Mary Peltola,,Facebook,Peltola4Congress,,9/19/2022
House,Alaska,Democrat,Mary Peltola,,Instagram,marypeltola,,9/19/2022
House,Alaska,Democrat,Mary Peltola,,YouTube,,https://www.youtube.com/channel/UCXHT0c_Cqdvp6UAfXDxuGow,9/19/2022
House,Alaska,Republican,Nicholas Begich,,Twitter,NicholasBegich,75413121,9/19/2022
House,Alaska,Republican,Nicholas Begich,,Facebook,NicholasBegich,,9/19/2022
House,Alaska,Republican,Nicholas Begich,,Instagram,nicholasbegich,,9/19/2022
House,Alaska,Republican,Sarah Palin,,Twitter,SarahPalinUSA,65493023,9/19/2022
House,Alaska,Republican,Sarah Palin,,Facebook,sarahpalin,,9/19/2022
House,Alaska,Republican,Sarah Palin,,Instagram,sarahpalin97,,9/19/2022
House,Alaska,Libertarian,Chris Bye,,Facebook,AlaskasNextCongressman,,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Twitter,SenMarkKelly,1324926274888888320,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Twitter,CaptMarkKelly,65707359,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Facebook,SenMarkKelly,,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Facebook,CaptMarkKelly,,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,YouTube,,https://www.youtube.com/SenMarkKelly,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,YouTube,,https://www.youtube.com/c/CaptMarkKelly,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Instagram,senmarkkelly,,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Instagram,captmarkkelly,,9/19/2022
Senate,Arizona ,Republican,Blake Masters,,Twitter,bgmasters,117338050,9/19/2022
Senate,Arizona ,Republican,Blake Masters,,Facebook,BlakeForSenate,,9/19/2022
Senate,Arizona ,Republican,Blake Masters,,YouTube,,https://www.youtube.com/channel/UC_EoQA_Aorta5AiUa0XS4Ig,9/19/2022
House,Arizona ,Democrat,Kristen Engle,6,Twitter,EngelForArizona,4608082538,9/19/2022
House,Arizona ,Democrat,Kristen Engle,6,Facebook,EngelForArizona,,9/19/2022
House,Arizona ,Democrat,Kristen Engle,6,YouTube,,https://www.youtube.com/channel/UCtE5tEKq99TJXwtVRpjhFbw,9/19/2022
House,Arizona ,Democrat,Kristen Engle,6,Instagram,engelforarizona,,9/19/2022
House,Arizona ,Republican,Juan Ciscomani,6,Twitter,juanciscomani,62874548,9/19/2022
House,Arizona ,Republican,Juan Ciscomani,6,Facebook,juanciscomani,,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Twitter,RepDavid,229197216,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Twitter,DavidSchweikert,21509894,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Facebook,repdavidschweikert,,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Facebook,SchweikertForAZ,,9/19/2022
House,Arizona ,Republican,David Schweikert,1,YouTube,,https://www.youtube.com/user/RepDavidSchweikert,9/19/2022
House,Arizona ,Republican,David Schweikert,1,YouTube,,https://www.youtube.com/user/schweikert4congress,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Instagram,repdavid,,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Instagram,schweikert4az,,9/19/2022
House,Arizona ,Democrat,Jevin Hodge,1,YouTube,,https://www.youtube.com/channel/UCNesdauEeHLmGsO6girarJg,9/19/2022
House,Arizona ,Democrat,Jevin Hodge,1,Facebook,JevinHodgeAZ,,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Twitter,RepRubenGallego,2966570782,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Twitter,RubenGallego,49217025,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Facebook,RepRubenGallego,,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Facebook,GallegoforArizona,,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,YouTube,,https://www.youtube.com/channel/UCru0REdL016INldtvq6gaLA,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Instagram,reprubengallego,,9/19/2022
House,Arizona ,Republican,Jeffrey Zink,3,Twitter,realJeffZink,3106053616,9/19/2022
House,Arizona ,Republican,Jeffrey Zink,3,YouTube,,https://www.youtube.com/channel/UCxG-u_0NbB7uoSPdM75vvWQ,9/19/2022
House,Arizona ,Republican,Jeffrey Zink,3,Instagram,realjeffzink,,9/19/2022
House,Arizona ,Republican,Jeffrey Zink,3,Facebook,realJeffZink,,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Twitter,RepAndyBiggsAZ,816652616625168384,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Twitter,andybiggs4az,702601370344402944,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Facebook,RepAndyBiggs,,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Facebook,biggsforcongress,,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,YouTube,,https://www.youtube.com/channel/UCqSq9kWOxk9yNTeILBCVC1w,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,YouTube,,https://www.youtube.com/channel/UCqtulpp-D8muHOF-Cj8wqXA,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Instagram,repandybiggs,,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Instagram,andybiggsaz,,9/19/2022
House,Arizona ,Democrat,Javier Garsia Ramos,5,Twitter,RamosAZ5,1236122354285072384,9/19/2022
House,Arizona ,Democrat,Javier Garsia Ramos,5,Instagram,ramosazcd5,,9/19/2022
House,Arizona ,Independent,Clint Smith,5,Twitter,SmithforAZ,1492223898380750848,9/19/2022
House,Arizona ,Independent,Clint Smith,5,Instagram,SmithForAZ,,9/19/2022
House,Arizona ,Independent,Clint Smith,5,Facebook,SmithforAZ,,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Twitter,RepGosar,240760644,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Twitter,DrPaulGosar,872148729184362496,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Facebook,repgosar,,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Facebook,DrPaulGosar,,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,YouTube,,https://www.youtube.com/user/repgosar,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Instagram,rep.paulgosar,,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Twitter,repraulgrijalva,28602948,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Twitter,standwithraul,135623073,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Facebook,Rep.Grijalva,,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Facebook,peopleforgrijalva,,9/19/2022
